id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount
tqo0h5jvtsE,Kids meet Grammarly's CEO,Grammarly's Bring Your Kid to Work Day came with a plot twist when our temporary board held an impromptu meeting with our CEO.,2025-09-23T23:48:53Z,Grammarly|Skit,22,en,en,https://i.ytimg.com/vi/tqo0h5jvtsE/default.jpg,https://i.ytimg.com/vi/tqo0h5jvtsE/hqdefault.jpg,PT2M34S,222,2,0,public,UCfmqLyr1PI3_zbwppHNEzuQ,Grammarly,"Grammarly is the trusted AI assistant for communication and productivity, helping over 40 million people and 50,000 organizations do their best work. Companies like Atlassian, Databricks, and Zoom rely on Grammarly to brainstorm, compose, and enhance communication that moves work forward. Grammarly works where you work, integrating seamlessly with over 500,000 applications and websites. 
",US,https://yt3.ggpht.com/yuxLf3_zUv4L3U8YQoIH84DtgxtQdP5laOdantgogk6P7tKiNzFDA-JGYRk625usCHhpc5SlaDA=s800-c-k-c0x00ffffff-no-rj,236000,271
f_XVxYjmWj8,Grammarly + Coda: Smarter Workflows for Growing Teams,"At The Blogsmith Content Agency, efficiency and quality drive every process. By integrating Coda, their team can easily update and access any necessary information to be successful in their roles. Grammarly’s AI ensures every document is clear, mistake-free, and aligned with their brand voice. By combining these tools, The Blogsmith creates professional content, saves time, and scales with confidence.

Try Grammarly today: grammarly.com/business",2025-09-23T21:47:48Z,,27,en,en,https://i.ytimg.com/vi/f_XVxYjmWj8/default.jpg,https://i.ytimg.com/vi/f_XVxYjmWj8/hqdefault.jpg,PT1M9S,74,4,0,public,UCfmqLyr1PI3_zbwppHNEzuQ,Grammarly,"Grammarly is the trusted AI assistant for communication and productivity, helping over 40 million people and 50,000 organizations do their best work. Companies like Atlassian, Databricks, and Zoom rely on Grammarly to brainstorm, compose, and enhance communication that moves work forward. Grammarly works where you work, integrating seamlessly with over 500,000 applications and websites. 
",US,https://yt3.ggpht.com/yuxLf3_zUv4L3U8YQoIH84DtgxtQdP5laOdantgogk6P7tKiNzFDA-JGYRk625usCHhpc5SlaDA=s800-c-k-c0x00ffffff-no-rj,236000,271
G7BhPpYiGB4,Why Migrate from Notion to Coda (with Grammarly),"Learn why Maddy Osman, founder of The Blogsmith Content Agency, switched her team from Notion to Coda and how Grammarly ensures clarity and brand consistency throughout. By combining Coda's platform with Grammarly's AI, The Blogsmith creates clear, mistake-free documentation and scales content efficiently and cost-effectively.

Try Grammarly today: grammarly.com/business",2025-09-23T21:46:29Z,,27,en,en,https://i.ytimg.com/vi/G7BhPpYiGB4/default.jpg,https://i.ytimg.com/vi/G7BhPpYiGB4/hqdefault.jpg,PT1M39S,39,2,0,public,UCfmqLyr1PI3_zbwppHNEzuQ,Grammarly,"Grammarly is the trusted AI assistant for communication and productivity, helping over 40 million people and 50,000 organizations do their best work. Companies like Atlassian, Databricks, and Zoom rely on Grammarly to brainstorm, compose, and enhance communication that moves work forward. Grammarly works where you work, integrating seamlessly with over 500,000 applications and websites. 
",US,https://yt3.ggpht.com/yuxLf3_zUv4L3U8YQoIH84DtgxtQdP5laOdantgogk6P7tKiNzFDA-JGYRk625usCHhpc5SlaDA=s800-c-k-c0x00ffffff-no-rj,236000,271
O0qdEu7VjDs,How Grammarly Helps Communication Professionals Succeed,"For communications professional, Alyssa Towns, Grammarly is her partner in building a successful career. Over five years and more than 25 million analyzed words, Grammarly has helped Alyssa write with clarity, deliver high-quality work, and maintain long-term client relationships. By catching errors, strengthening tone, and sharpening clarity, Grammarly empowers Alyssa to be the best writer she can be for her clients.

Try Grammarly today: grammarly.com",2025-09-23T21:43:45Z,,27,en,en,https://i.ytimg.com/vi/O0qdEu7VjDs/default.jpg,https://i.ytimg.com/vi/O0qdEu7VjDs/hqdefault.jpg,PT1M41S,22,3,0,public,UCfmqLyr1PI3_zbwppHNEzuQ,Grammarly,"Grammarly is the trusted AI assistant for communication and productivity, helping over 40 million people and 50,000 organizations do their best work. Companies like Atlassian, Databricks, and Zoom rely on Grammarly to brainstorm, compose, and enhance communication that moves work forward. Grammarly works where you work, integrating seamlessly with over 500,000 applications and websites. 
",US,https://yt3.ggpht.com/yuxLf3_zUv4L3U8YQoIH84DtgxtQdP5laOdantgogk6P7tKiNzFDA-JGYRk625usCHhpc5SlaDA=s800-c-k-c0x00ffffff-no-rj,236000,271
WpRFs0gUYRs,How Grammarly’s AI Empowers Writers,"Grammarly’s AI writing assistance helps you write with clarity and confidence. Stacey, an educational technology consultant and author, shares how Grammarly enhances her writing by catching mistakes, refining tone, and rephrasing paragraphs to make every message more effective. Try Grammarly today: https://www.grammarly.com/",2025-09-22T05:53:48Z,,27,en,en,https://i.ytimg.com/vi/WpRFs0gUYRs/default.jpg,https://i.ytimg.com/vi/WpRFs0gUYRs/hqdefault.jpg,PT1M45S,78,3,0,public,UCfmqLyr1PI3_zbwppHNEzuQ,Grammarly,"Grammarly is the trusted AI assistant for communication and productivity, helping over 40 million people and 50,000 organizations do their best work. Companies like Atlassian, Databricks, and Zoom rely on Grammarly to brainstorm, compose, and enhance communication that moves work forward. Grammarly works where you work, integrating seamlessly with over 500,000 applications and websites. 
",US,https://yt3.ggpht.com/yuxLf3_zUv4L3U8YQoIH84DtgxtQdP5laOdantgogk6P7tKiNzFDA-JGYRk625usCHhpc5SlaDA=s800-c-k-c0x00ffffff-no-rj,236000,271
dvAh0pp7tBk,Improve Style and Substance With Grammarly’s Proofreader Agent,"Sharpen your thesis, strengthen your structure, and improve your phrasing as you write. Grammarly’s Proofreader agent goes beyond spelling and grammar correction to help you submit your best work. Learn more at https://gram.ly/4ptf4Gd.
 
Grammarly’s new writing surface is loaded with AI agents that understand the assignment. We’re talking:

 • AI Grader, which predicts your grade and instructor’s feedback based on your rubric, topic, and course context
 • Expert Review, which gives you feedback inspired by subject-matter experts in your field
 • Citation Finder, which scans your writing to identify claims that need support—and finds credible sources that back you up or push you to reconsider your points
 • Plagiarism Checker, which flags unintentional similarities and citation gaps by scanning your work against academic and online sources

The list goes on. 

Unlike other AI platforms, Grammarly is focused on helping students use AI without breaking their school’s academic integrity policies. Plus, it ensures your unique voice is preserved, even when you’re working with AI. It’s your essay, after all; it should sound like you.

Follow Grammarly on Instagram and LinkedIn.",2025-09-18T00:58:43Z,,27,en,en,https://i.ytimg.com/vi/dvAh0pp7tBk/default.jpg,https://i.ytimg.com/vi/dvAh0pp7tBk/hqdefault.jpg,PT46S,7135525,8,0,public,UCfmqLyr1PI3_zbwppHNEzuQ,Grammarly,"Grammarly is the trusted AI assistant for communication and productivity, helping over 40 million people and 50,000 organizations do their best work. Companies like Atlassian, Databricks, and Zoom rely on Grammarly to brainstorm, compose, and enhance communication that moves work forward. Grammarly works where you work, integrating seamlessly with over 500,000 applications and websites. 
",US,https://yt3.ggpht.com/yuxLf3_zUv4L3U8YQoIH84DtgxtQdP5laOdantgogk6P7tKiNzFDA-JGYRk625usCHhpc5SlaDA=s800-c-k-c0x00ffffff-no-rj,236000,271
a2nYw3gao7E,Adapt Your Writing for Any Style With Grammarly’s Paraphraser Agent,"Need to sound professional, casual, friendly, or somewhere in between? Grammarly’s Paraphraser agent adapts your writing while helping you retain your intended meaning. Make stiff text sound natural, fine-tune your tone, and adapt your writing for any style. Learn more at https://gram.ly/4ptf4Gd.

Grammarly’s new writing surface is loaded with AI agents that understand the assignment. We’re talking:

 • Proofreader, which sharpens your thesis, strengthens your structure, and improves your phrasing as you write
 • AI Grader, which predicts your grade and instructor’s feedback based on your rubric, topic, and course context
 • Expert Review, which gives you feedback inspired by subject-matter experts in your field
 • Citation Finder, which scans your writing to identify claims that need support—and finds credible sources that back you up or push you to reconsider your points
 • Plagiarism Checker, which flags unintentional similarities and citation gaps by scanning your work against academic and online sources

The list goes on.

Unlike other AI platforms, Grammarly is focused on helping students use AI without breaking their school’s academic integrity policies. Plus, it ensures your unique voice is preserved, even when you’re working with AI. It’s your essay, after all; it should sound like you.

Follow Grammarly on Instagram and LinkedIn.",2025-09-18T00:57:10Z,,27,en,en,https://i.ytimg.com/vi/a2nYw3gao7E/default.jpg,https://i.ytimg.com/vi/a2nYw3gao7E/hqdefault.jpg,PT51S,7723090,18,0,public,UCfmqLyr1PI3_zbwppHNEzuQ,Grammarly,"Grammarly is the trusted AI assistant for communication and productivity, helping over 40 million people and 50,000 organizations do their best work. Companies like Atlassian, Databricks, and Zoom rely on Grammarly to brainstorm, compose, and enhance communication that moves work forward. Grammarly works where you work, integrating seamlessly with over 500,000 applications and websites. 
",US,https://yt3.ggpht.com/yuxLf3_zUv4L3U8YQoIH84DtgxtQdP5laOdantgogk6P7tKiNzFDA-JGYRk625usCHhpc5SlaDA=s800-c-k-c0x00ffffff-no-rj,236000,271
y883pM6-ya8,Predict Your Grades Before You Get Them With Grammarly’s AI Grader,"Want to know how your paper will likely score before you turn it in? Grammarly’s AI Grader gives you instant insights based on the assignment, grading rubric, and even your instructor’s expectations so you can revise with purpose and submit with confidence. Learn more at https://gram.ly/4ptf4Gd.

Grammarly’s new writing surface is loaded with AI agents that understand the assignment. We’re talking:

 • Proofreader, which sharpens your thesis, strengthens your structure, and improves your phrasing as you write
 • Expert Review, which gives you feedback inspired by subject-matter experts in your field
 • Citation Finder, which scans your writing to identify claims that need support—and finds credible sources that back you up or push you to reconsider your points
 • Plagiarism Checker, which flags unintentional similarities and citation gaps by scanning your work against academic and online sources

The list goes on.

Unlike other AI platforms, Grammarly is focused on helping students use AI without breaking their school’s academic integrity policies. Plus, it ensures your unique voice is preserved, even when you’re working with AI. It’s your essay, after all; it should sound like you.

Follow Grammarly on Instagram and LinkedIn.",2025-09-18T00:55:12Z,,27,en,en,https://i.ytimg.com/vi/y883pM6-ya8/default.jpg,https://i.ytimg.com/vi/y883pM6-ya8/hqdefault.jpg,PT54S,3849674,5,0,public,UCfmqLyr1PI3_zbwppHNEzuQ,Grammarly,"Grammarly is the trusted AI assistant for communication and productivity, helping over 40 million people and 50,000 organizations do their best work. Companies like Atlassian, Databricks, and Zoom rely on Grammarly to brainstorm, compose, and enhance communication that moves work forward. Grammarly works where you work, integrating seamlessly with over 500,000 applications and websites. 
",US,https://yt3.ggpht.com/yuxLf3_zUv4L3U8YQoIH84DtgxtQdP5laOdantgogk6P7tKiNzFDA-JGYRk625usCHhpc5SlaDA=s800-c-k-c0x00ffffff-no-rj,236000,271
m0JR03nxy5k,Check Your Work for AI With Grammarly’s AI Detector,"Make sure your writing passes the test. Grammarly’s AI Detector helps you keep your work original and credible by flagging areas that sound AI-generated so you can revise it before you submit. Learn more at https://gram.ly/4ptf4Gd.

Grammarly’s new writing surface is loaded with AI agents that understand the assignment. We’re talking:

 • Proofreader, which sharpens your thesis, strengthens your structure, and improves your phrasing as you write
 • Expert Review, which gives you feedback inspired by subject-matter experts in your field
 • Citation Finder, which scans your writing to identify claims that need support—and finds credible sources that back you up or push you to reconsider your points
 • Plagiarism Checker, which flags unintentional similarities and citation gaps by scanning your work against academic and online sources

The list goes on.

Unlike other AI platforms, Grammarly is focused on helping students use AI without breaking their school’s academic integrity policies. Plus, it ensures your unique voice is preserved, even when you’re working with AI. It’s your essay, after all; it should sound like you.

Follow Grammarly on Instagram and LinkedIn.",2025-09-18T00:55:26Z,,27,en,en,https://i.ytimg.com/vi/m0JR03nxy5k/default.jpg,https://i.ytimg.com/vi/m0JR03nxy5k/hqdefault.jpg,PT45S,1474297,5,0,public,UCfmqLyr1PI3_zbwppHNEzuQ,Grammarly,"Grammarly is the trusted AI assistant for communication and productivity, helping over 40 million people and 50,000 organizations do their best work. Companies like Atlassian, Databricks, and Zoom rely on Grammarly to brainstorm, compose, and enhance communication that moves work forward. Grammarly works where you work, integrating seamlessly with over 500,000 applications and websites. 
",US,https://yt3.ggpht.com/yuxLf3_zUv4L3U8YQoIH84DtgxtQdP5laOdantgogk6P7tKiNzFDA-JGYRk625usCHhpc5SlaDA=s800-c-k-c0x00ffffff-no-rj,236000,271
VBAQr43v5hc,Know Your Work Is Original With Grammarly’s Plagiarism Checker,"Check your assignments for unintentional plagiarism and similarities before you turn them in. Grammarly’s Plagiarism Checker scans your work against billions of sources to help you catch areas that may need citing and find sources. Learn more at https://gram.ly/4ptf4Gd.

Grammarly’s new writing surface is loaded with AI agents that understand the assignment. We’re talking:

 • Proofreader, which sharpens your thesis, strengthens your structure, and improves your phrasing as you write
 • Expert Review, which gives you feedback inspired by subject-matter experts in your field
 • Citation Finder, which scans your writing to identify claims that need support—and finds credible sources that back you up or push you to reconsider your points
 • AI Detector, which scans your work for text that sounds AI-generated so you can revise it before you submit.

The list goes on.

Unlike other AI platforms, Grammarly is focused on helping students use AI without breaking their school’s academic integrity policies. Plus, it ensures your unique voice is preserved, even when you’re working with AI. It’s your essay, after all; it should sound like you.

Follow Grammarly on Instagram and LinkedIn.",2025-09-18T00:53:06Z,,27,en,en,https://i.ytimg.com/vi/VBAQr43v5hc/default.jpg,https://i.ytimg.com/vi/VBAQr43v5hc/hqdefault.jpg,PT45S,1358158,0,0,public,UCfmqLyr1PI3_zbwppHNEzuQ,Grammarly,"Grammarly is the trusted AI assistant for communication and productivity, helping over 40 million people and 50,000 organizations do their best work. Companies like Atlassian, Databricks, and Zoom rely on Grammarly to brainstorm, compose, and enhance communication that moves work forward. Grammarly works where you work, integrating seamlessly with over 500,000 applications and websites. 
",US,https://yt3.ggpht.com/yuxLf3_zUv4L3U8YQoIH84DtgxtQdP5laOdantgogk6P7tKiNzFDA-JGYRk625usCHhpc5SlaDA=s800-c-k-c0x00ffffff-no-rj,236000,271
